comment_id,status_id,parent_id,comment_message,comment_published,comment_likes
994218007393130_994218650726399,127857990695807_994218007393130,,that was delightfully unhelpful! :D,2018-03-22 15:25:51,4
994218007393130_994218987393032,127857990695807_994218007393130,,"Ha--I was hoping the recent activity was more a case of clearing the decks than anything more...sinister.  This is excellent news, Messenger!",2018-03-22 15:27:12,4
994218007393130_994222567392674,127857990695807_994218007393130,,"Shhh, it's okay. You did just fine... *comfortingly pats shoulder*",2018-03-22 15:38:30,9
994218007393130_994235310724733,127857990695807_994218007393130,994218007393130_994222567392674,"That was a speech to only... like.. twelve people, right? I mean, I'm used to one on one, or like.... pestering a small group of people on the page. 

Man, if I was just speaking to over, say... 25 people, I'd be SOOOOO nervous right now! ... it wasn't, right? 

Only like... ten people were listening, right???",2018-03-22 16:21:44,11
994218007393130_994237644057833,127857990695807_994218007393130,994218007393130_994222567392674,"Where are you right now? Are you sitting down? Please, sit somewhere comfortable for a moment...and brace yourself.

*readies smelling salts*

*whispers* 368,090 people follow this page

I'm sorry but someone had to inform you. Are you—

are y-you okay???",2018-03-22 16:31:08,2
994218007393130_994244164057181,127857990695807_994218007393130,994218007393130_994222567392674,"... but that's 14,724 25s... that's ... 25 14,724 times...  if they were groups of 25 we would need... 14,724 separate announcements.

if each group of 25 sent one representative, and then all of THAT batch of people were broken down into separate announcements, there would still need to be 589 announcements... 

So, more than 25 eh?

If you excuse me I'm going to go to sleep now... 

OH! And don't worry, I always sleep on the floor...

... and everyone who knows me knows that I look like I'm fainting when I go to bed, it's just common knowledge around here!

... also, I always hit the ground REALLY hard, all limp and stuff...",2018-03-22 16:52:40,4
994218007393130_994249484056649,127857990695807_994218007393130,994218007393130_994222567392674,"*tucks comfy pillow and a few blankets around* 

*whispers* quiet everyone, our Messenger is sleeping!",2018-03-22 17:16:10,5
994218007393130_994518560696408,127857990695807_994218007393130,994218007393130_994222567392674,"Well done, Mikela, well done. Nice and easy.",2018-03-23 06:21:06,4
994218007393130_994227527392178,127857990695807_994218007393130,,Good to.know.  I just received my first installment of.the forgotten tomb.   Looking forward to more experoences,2018-03-22 15:51:45,0
994218007393130_994228554058742,127857990695807_994218007393130,,"My risen package delighted/ peaked serious reaction from my boyfriend for his Valentine's gift. I convinced him internet research could cause red flags and let it take it's course. I deflected our friends from ruining my gift to him, up to the crate mailing ( it should arrive soon) he was showing a ""smart phone"" savvy friend who googled in front of god and everyone and started reading allowed the 1st thing he found which in detail explained all the mailings. I had to stop him before he unveiled the crate. Thus putting into light my gift. Thankfully my boyfriend has decided to keep the mystery even thou he knows about it now. 
Thank you The Mysterious Package Company for such a wonderful unique gift!",2018-03-22 15:54:55,2
994218007393130_994229950725269,127857990695807_994218007393130,,"Your most active, involved experience was Curios & Conundrums.  Can we expect a surprise Volume 5 announcement with a return to the pre-Volume 4 format?",2018-03-22 16:01:02,8
994218007393130_994243544057243,127857990695807_994218007393130,994218007393130_994229950725269,Hi Todd!,2018-03-22 16:49:52,2
994218007393130_994563504025247,127857990695807_994218007393130,994218007393130_994229950725269,Todd!,2018-03-23 08:07:52,1
994218007393130_1005502722931325,127857990695807_994218007393130,994218007393130_994229950725269,Gosh I hope not.,2018-04-12 12:26:31,0
994218007393130_994233810724883,127857990695807_994218007393130,,Bring back the memberships!!!!,2018-03-22 16:16:07,3
994218007393130_994234894058108,127857990695807_994218007393130,,[[PHOTO]],2018-03-22 16:19:57,1
994218007393130_994235620724702,127857990695807_994218007393130,994218007393130_994234894058108,Why do *I* always having to give up my treasure cards??? This game is RIGGED I tell you... RIGGED!!!!,2018-03-22 16:22:43,1
994218007393130_994236850724579,127857990695807_994218007393130,994218007393130_994234894058108,"Hate the players, not the game. That's how that goes right? 😉",2018-03-22 16:27:56,0
994218007393130_994236030724661,127857990695807_994218007393130,,[[ANIMATED_IMAGE_SHARE]],2018-03-22 16:24:16,0
994218007393130_994236114057986,127857990695807_994218007393130,,[[ANIMATED_IMAGE_SHARE]],2018-03-22 16:24:33,0
994218007393130_994236364057961,127857990695807_994218007393130,,💗💗💗💗,2018-03-22 16:25:26,0
994218007393130_994255080722756,127857990695807_994218007393130,,"Hi, yes. I'm trying to find the bathroom. Could you direct me?",2018-03-22 17:28:22,0
994218007393130_994331790715085,127857990695807_994218007393130,,Don't shoot the Messenger.......,2018-03-22 21:22:26,0
994218007393130_994941823987415,127857990695807_994218007393130,994218007393130_994331790715085,Always listen to Dave Goodings... he has the best advice! The best.,2018-03-23 22:45:35,2
994218007393130_994521427362788,127857990695807_994218007393130,,Kelly this is what i was talking about.,2018-03-23 06:28:44,0
994218007393130_994582570690007,127857990695807_994218007393130,,Awesome! I can't wait!😬,2018-03-23 08:51:46,0
994218007393130_994897817325149,127857990695807_994218007393130,,Ryan,2018-03-23 20:43:44,0
994218007393130_997497253731872,127857990695807_994218007393130,994218007393130_994897817325149,"REYNOLDS... no, GOSLING... NO REYNOLDS again... Gah, this is too hard!",2018-03-28 10:38:19,1
994218007393130_996584683823129,127857990695807_994218007393130,,"Dearest Messenger....I should very much like to contact the Curator as I wish to leave the most stellar of reviews for the recent experience I, well, experienced, but I seem to be unable to log in to my account, and although I have requested repeatedly to reset my password, I unfortunately have not received any correspondence to address the matter.  Would you please be so kind as to look into this?  Humbly yours, MaryAnne",2018-03-26 20:02:27,0
994218007393130_997496267065304,127857990695807_994218007393130,994218007393130_996584683823129,"Heya MaryAnne! I'll poke at someone here... 

... OH! And after doing so, I'll let them know to look out for your correspondence!

... and then I'll poke at them a bit more for fun.",2018-03-28 10:35:17,1
994218007393130_1001413380006926,127857990695807_994218007393130,,please bring back the membership kits!,2018-04-04 21:15:41,0
994218007393130_1007772056037725,127857990695807_994218007393130,,"I too was concerned - after joining a year ago, the recent sale on Volume 3 of Curios & Conundrums, which arrived today. I have been wanting to partake of some of the full experiences but have been a bit reticent. And now seeing so many disappear I feared I might have lost my chance. Happy to know good things are coming...",2018-04-16 13:47:16,0
993005297514401_993259634155634,127857990695807_993005297514401,,I say this with all due respect to the company that I have enjoyed for the past three years. But why are you archiving all of your experiences and instead choosing to promote another company's kickstarter?,2018-03-20 21:58:18,5
993005297514401_994230224058575,127857990695807_993005297514401,993005297514401_993259634155634,"I have made a post today explaining our recent slew of sales and archivings. As for the other company's Kickstarter, they are friends of the Curator. Would you say no if the Curator asked you to do something for a friend??",2018-03-22 16:01:59,1
993005297514401_994232977391633,127857990695807_993005297514401,993005297514401_993259634155634,I'm taking Dr. Patel's advice on this one...,2018-03-22 16:12:56,1
993005297514401_993348120813452,127857990695807_993005297514401,,I used to love this company. :(,2018-03-21 02:20:42,1
993005297514401_993350270813237,127857990695807_993005297514401,993005297514401_993348120813452,C&C every quarter used to mean so much to me. :(,2018-03-21 02:30:15,3
993005297514401_993695740778690,127857990695807_993005297514401,,"Their sticker packs are half price...but $10 shipping? 

The End.",2018-03-21 17:23:23,0
992560100892254_992571494224448,127857990695807_992560100892254,,Is the company going out of business? You've been archiving many of your experiences...and not continuing curios and conundrums..,2018-03-19 17:59:09,0
992560100892254_992673567547574,127857990695807_992560100892254,992560100892254_992571494224448,"I'd like to know as well. Revamping, I think. I'm excited for new stuff!",2018-03-19 22:18:29,1
992560100892254_992622130886051,127857990695807_992560100892254,,Accion Uno,2018-03-19 19:42:19,0
992560100892254_992707260877538,127857990695807_992560100892254,,This spells the end of the MPC. Sigh.,2018-03-20 00:23:05,0
992560100892254_993311957483735,127857990695807_992560100892254,992560100892254_992707260877538,"I recall a moment in high school or perhaps it was the subplot of a tv show or movie. In the story (whether or not you experienced it or something like it, or was shielded., on the surface something gives us the impression that the main character's significant other is cheating. Bits and pieces of evidence keep piling up that they're a creep and it culminates in the GOTCHA moment...

... generally, it is around this point, when the main characters best friend says that they know where the cheating partner will be meeting their new love tonight, too! So, the main character goes to the scene of the crime, and kicks in the door... and we are treated to an embarrassing display where the significant other is caught caring for a sick grandmother, or sibling, or puppy. And when this fact is slid in to place as the answer for all the behaviour... it all makes so much more sense than the dramatic ""obviously they've gone evil and want to destroy everything good"" theory of good writing.

... well, either I recall that, or every episode of Arrested Development.

I'm shocked that ""Demon Jar"" being archived spells the end of the Mysterious Package Company... as we most certainly are not. o",2018-03-21 00:13:20,1
