status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
127857990695807_994218007393130,"Is this thing on... hel... hello?? Hi. This is weird... I'm more used to reacting to your comments, so it's different and confusing to be the first one to... 

Hi. It's me, the Messenger. I've been relentlessly ""not answering"" your questions on Facebook for years now. Some of you have confused me for the Curator, which is flattering, but we are very different. For example, if I were the Curator, I'd be writing on parchment right now and asking again why we have to write anything it's just a book full of faces.

Let's get this out of the way quickly: No, we aren't going out of business. No, we haven't been sold to a shady investor who is liquidating the company. Yes, that's exactly what a company doing both those things would say, right? After all, we have been running frequent sales and archiving some of our older Experiences. 

While we won't reveal all our secrets—that has not changed, nor will it ever– we do want to let our biggest supporters know what's happening... which has changed, I'll admit. I'm not used to this ""dispensing real information"" thing. But here goes nothing!

The truth — about the big sales and archiving — is somewhat more mundane. Some of our existing experiences are showing their age, and you, our members, have repeatedly told us that you want more active, involved Experiences. We began 2016 with three Experiences available in our store and were one short of four times that many by the end of 2017. Keeping all the old Experiences is a lot of work and makes it harder to start up new projects.

Hence, we are clearing out our old inventory to make way for the new.

... I have just heard the sound of thousands of ears perking up. For the curious, the sound is off-putting and quite nauseating, though lovely at the same time, like a choir of angelic children struggling to hit a five-part harmony at a school pageant.

Yes, you have heard correctly.  New items are coming later this spring, and they are unlike anything we have ever done before! It has been an adventure keeping our cards so close to our collective chests, all the while staying in the zone to uphold the mystery, but it will be worth it. Perhaps you saw the breadcrumbs we left for one?

In any case, that's all I have for today. Honestly... I'd like to get back to being helpfully unhelpful, now!

~ The Messenger",,photo,https://www.facebook.com/TheMysteriousPackageCompany/photos/a.130539527094320.28215.127857990695807/994214034060194/?type=3,2018-03-22 15:23:22,189,20,5,150,32,1,6,0,0
127857990695807_993005297514401,"Friends of the Curator have launched a Kickstarter campaign, but take note:  only the most clever are required to play Forbidden Games",Railroad Rivals,link,https://www.kickstarter.com/projects/954412004/railroad-rivals/,2018-03-20 12:48:14,29,3,10,24,0,1,0,4,0
127857990695807_992560100892254,"Thanks to you, our beloved members, we are fast approaching the completion of our most perilous obligation: the promise to find secure repositories for the ancient Demon Jars, most recently held by the Daughters of Naamah.

Accordingly, we are discounting the jars by $100",The Demon Jar,link,https://mysteriouspackage.com/products/dja?utm_campaign=facebook_post_2018-03-19T22%3A24%3A27Z&utm_content=facebook_page&utm_medium=admin&utm_source=facebook,2018-03-19 17:24:27,30,6,6,25,4,0,1,0,0
127857990695807_976954855786112,"For a limited time, we've included our newest and most expensive Experiences to our Surprise Me offering. Value up to $350 USD!",The Mysterious Package Company,link,https://mysteriouspackage.com/products/surprise-me?utm_campaign=facebook_post_2018-02-20T15%3A13%3A46Z&utm_content=facebook_page&utm_medium=admin&utm_source=facebook,2018-02-20 10:13:46,6,6,0,6,0,0,0,0,0
127857990695807_974192542729010,"""""Aha!"" said Percival. ""I've watched this pot for the last twenty minutes, and even while observed, it boiled!"" 

If mother was wrong about this, he reasoned to himself, perhaps someone could love him one day.""

Get Crushed. The 15th is your last chance to take advantage of our sale.

https://www.mysteriouspackage.com",Timeline Photos,photo,https://www.facebook.com/TheMysteriousPackageCompany/photos/a.130539527094320.28215.127857990695807/974192542729010/?type=3,2018-02-15 16:45:00,12,1,0,9,3,0,0,0,0
127857990695807_974080699406861,Last day to get 14% off your order,The Mysterious Package Company,link,https://mysteriouspackage.com/discount/CRUSHTHEM14?utm_campaign=facebook_post_2018-02-15T17%3A21%3A01Z&utm_content=facebook_page&utm_medium=admin&utm_source=facebook,2018-02-15 12:21:01,5,1,0,4,1,0,0,0,0
127857990695807_973933229421608,"""Classy Hat and a Trimmed Moustache, then take a knee by the old oak tree!"" Now his thirtieth year waiting for love on Valentines day, Claymore was starting to question his mother's relationship advice.""

Get Crushed. Our sale ends on the 15th.

https://www.mysteriouspackage.com",Timeline Photos,photo,https://www.facebook.com/TheMysteriousPackageCompany/photos/a.130539527094320.28215.127857990695807/973933229421608/?type=3,2018-02-15 07:48:00,3,0,0,3,0,0,0,0,0
127857990695807_973629339451997,"""A stern Valentines to you. Now, get back to your place of employment. Love has been dead since INDUSTRY WAS BORN! Sincerely, Henry Clay.""

Get Crushed. The 15th is your last chance to take advantage of our sale.

https://www.mysteriouspackage.com",Timeline Photos,photo,https://www.facebook.com/TheMysteriousPackageCompany/photos/a.130539527094320.28215.127857990695807/973629339451997/?type=3,2018-02-14 17:36:01,8,1,0,7,0,0,1,0,0
127857990695807_973612549453676,"""The bachelor's night out had been going well, but when Wilfred invited them to the living room they saw that, despite being three bachelors, he had only one rose left. Tonight was the night.""

Get Crushed. The 15th is your last chance to take advantage of our sale.

https://www.mysteriouspackage.com",Timeline Photos,photo,https://www.facebook.com/TheMysteriousPackageCompany/photos/a.130539527094320.28215.127857990695807/973612549453676/?type=3,2018-02-14 16:45:01,2,0,0,0,0,0,2,0,0
127857990695807_972409169574014,Soon to be archived! Get Crushed Sale: save $80 + take an additional 14% Quest of the Werejaguar while quantities last. Use promo code CRUSHTHEM14 at checkout.,Quest of the Werejaguar,link,https://mysteriouspackage.com/products/qwj?utm_campaign=facebook_post_2018-02-12T20%3A49%3A26Z&utm_content=facebook_page&utm_medium=admin&utm_source=facebook,2018-02-12 15:49:26,2,2,0,2,0,0,0,0,0
